,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
0,1,services,married,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
1,1,blue-collar,single,secondary,no,0,yes,yes,cellular,0,feb,1,1,1,1,failure,no
2,1,technician,married,secondary,no,1,no,yes,cellular,1,aug,1,0,1,1,success,yes
3,1,admin.,married,tertiary,no,0,yes,no,cellular,0,jul,1,0,1,1,failure,no
4,0,management,single,tertiary,no,1,no,no,cellular,0,apr,0,0,1,1,failure,yes
5,1,admin.,divorced,secondary,no,1,yes,no,cellular,0,jun,0,0,1,1,failure,no
6,1,services,married,secondary,no,1,no,no,cellular,1,jun,1,1,1,1,failure,no
7,0,blue-collar,single,secondary,no,0,yes,yes,cellular,1,may,1,1,1,1,failure,no
8,1,blue-collar,married,primary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
9,1,management,married,tertiary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
10,1,technician,married,secondary,no,0,no,no,cellular,1,jul,1,1,1,1,failure,no
11,0,services,married,secondary,no,0,yes,no,telephone,1,jul,1,1,1,1,failure,no
12,0,technician,single,tertiary,no,1,yes,no,cellular,0,feb,0,0,1,1,failure,no
13,0,student,single,secondary,no,0,yes,no,telephone,0,jul,0,0,1,1,failure,no
14,0,management,married,tertiary,no,1,yes,no,cellular,0,feb,0,1,1,1,other,no
15,0,services,married,secondary,no,0,yes,yes,cellular,1,apr,0,0,1,1,other,no
16,1,self-employed,divorced,tertiary,no,1,no,no,cellular,0,aug,1,0,1,1,failure,yes
17,0,admin.,single,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
18,0,services,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
19,1,management,divorced,tertiary,no,0,no,no,cellular,0,may,0,0,1,1,failure,no
20,0,admin.,single,tertiary,no,0,no,yes,cellular,1,jul,0,1,1,1,failure,no
21,1,technician,married,secondary,no,1,yes,yes,cellular,0,aug,0,1,1,1,failure,no
22,1,admin.,divorced,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
23,1,management,single,tertiary,no,1,no,no,cellular,0,aug,0,0,1,1,failure,no
24,1,blue-collar,married,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
25,0,management,single,tertiary,no,0,no,no,cellular,1,aug,0,0,1,1,failure,no
26,0,services,married,secondary,no,0,no,no,cellular,0,sep,1,0,1,1,failure,no
27,0,management,married,tertiary,no,1,no,no,cellular,1,nov,0,1,1,1,failure,no
28,0,management,single,tertiary,no,1,no,no,cellular,1,jun,0,1,1,1,failure,yes
29,1,retired,married,secondary,no,0,yes,yes,cellular,0,aug,0,1,1,1,failure,no
30,0,services,married,secondary,no,1,yes,no,telephone,0,feb,0,0,1,1,failure,no
31,0,technician,single,tertiary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
32,1,blue-collar,married,secondary,no,1,no,no,cellular,1,nov,0,0,1,1,failure,no
33,1,blue-collar,divorced,tertiary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
34,0,blue-collar,married,secondary,no,0,yes,yes,cellular,1,nov,0,1,1,1,failure,no
35,1,blue-collar,married,primary,no,0,yes,no,cellular,1,aug,1,1,1,1,failure,no
36,0,management,single,tertiary,no,1,yes,no,cellular,1,nov,0,0,1,1,failure,no
37,0,management,single,tertiary,no,1,yes,no,cellular,1,apr,1,1,1,1,failure,yes
38,0,technician,single,tertiary,no,1,no,yes,cellular,1,jul,1,1,1,1,failure,no
39,0,management,single,tertiary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
40,0,blue-collar,single,secondary,no,1,no,no,cellular,1,sep,1,1,1,1,failure,yes
41,0,services,single,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,success,yes
42,1,services,married,secondary,no,0,no,no,cellular,1,jul,1,1,1,1,failure,no
43,1,services,single,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,other,no
44,1,technician,married,secondary,no,1,yes,no,cellular,1,may,1,1,1,1,success,no
45,1,blue-collar,single,tertiary,no,1,no,no,telephone,1,jul,1,1,1,1,failure,no
46,0,blue-collar,married,secondary,no,1,yes,no,cellular,1,apr,1,0,1,1,failure,no
47,1,admin.,married,tertiary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
48,1,services,married,secondary,no,1,yes,no,cellular,0,jul,0,1,1,1,failure,no
49,0,technician,single,secondary,no,0,no,no,telephone,0,jul,1,0,1,1,failure,no
50,1,housemaid,married,tertiary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
51,0,technician,married,tertiary,no,0,no,no,cellular,1,aug,1,1,1,1,failure,no
52,0,blue-collar,single,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
53,0,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
54,1,blue-collar,married,primary,no,0,yes,no,cellular,1,apr,0,0,1,1,failure,no
55,1,retired,divorced,tertiary,no,1,no,no,cellular,1,jun,1,0,1,1,failure,no
56,1,housemaid,single,secondary,no,1,no,no,telephone,1,jan,0,0,1,1,failure,no
57,0,blue-collar,married,secondary,no,1,yes,yes,cellular,1,may,1,0,1,1,failure,no
58,0,admin.,divorced,secondary,no,1,yes,no,telephone,0,may,0,1,1,1,other,no
59,1,management,married,tertiary,no,1,yes,no,cellular,1,nov,0,0,1,1,failure,no
60,1,retired,married,secondary,no,1,yes,no,cellular,0,jun,0,0,1,1,failure,no
61,1,blue-collar,married,secondary,no,1,yes,no,telephone,1,may,0,1,1,1,failure,no
62,1,blue-collar,married,primary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
63,0,technician,single,tertiary,no,1,no,no,cellular,1,nov,1,1,1,1,failure,yes
64,0,unemployed,single,primary,no,1,no,no,cellular,0,mar,0,1,1,1,failure,no
65,1,admin.,divorced,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,yes
66,0,admin.,divorced,secondary,no,1,no,no,cellular,0,jan,0,1,1,1,success,no
67,0,student,single,tertiary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
68,0,technician,married,tertiary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
69,1,services,single,secondary,no,1,yes,yes,cellular,0,jun,1,1,1,1,failure,no
70,1,housemaid,divorced,primary,no,0,no,no,telephone,0,aug,1,0,1,1,failure,no
71,1,services,married,secondary,no,1,yes,yes,cellular,1,jul,0,1,1,1,failure,no
72,1,management,married,secondary,no,1,no,yes,cellular,0,jun,1,1,1,1,failure,no
73,1,technician,married,primary,yes,0,no,no,cellular,0,jun,0,0,1,1,failure,no
74,1,technician,married,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
75,1,retired,married,tertiary,no,0,no,no,cellular,0,feb,0,1,1,1,failure,no
76,1,technician,married,secondary,no,0,yes,no,cellular,0,apr,1,1,1,1,failure,no
77,1,blue-collar,married,primary,no,0,yes,no,cellular,1,jul,0,1,1,1,failure,no
78,1,blue-collar,married,primary,no,0,yes,no,cellular,1,nov,1,0,1,1,failure,no
79,1,management,married,secondary,no,1,no,yes,cellular,1,jan,0,1,1,1,failure,no
80,0,blue-collar,single,secondary,no,0,no,no,cellular,1,may,1,0,1,1,failure,no
81,1,blue-collar,married,primary,no,0,yes,no,cellular,0,jul,0,0,1,1,failure,no
82,1,management,divorced,secondary,no,0,yes,yes,cellular,0,may,1,1,1,1,failure,no
83,0,management,married,tertiary,no,1,no,no,cellular,0,oct,1,1,1,1,success,yes
84,1,blue-collar,married,primary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
85,0,services,married,secondary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
86,0,services,married,secondary,no,1,no,no,cellular,0,jun,0,0,1,1,success,yes
87,0,blue-collar,married,secondary,no,0,no,yes,cellular,1,jul,1,1,1,1,failure,no
88,0,services,married,secondary,no,0,no,no,cellular,0,jul,1,0,1,1,failure,no
89,0,entrepreneur,married,secondary,no,1,yes,no,cellular,0,jun,0,1,1,1,failure,no
90,0,management,single,tertiary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
91,1,management,married,secondary,no,1,no,no,cellular,1,jun,0,1,1,1,failure,no
92,0,admin.,married,secondary,no,1,yes,no,cellular,0,jun,1,1,1,1,failure,no
93,0,technician,married,tertiary,no,1,yes,no,cellular,1,aug,0,1,1,1,failure,no
94,0,technician,single,tertiary,no,1,yes,no,cellular,0,aug,1,1,1,1,failure,no
95,0,technician,single,secondary,no,0,yes,no,cellular,0,aug,0,1,1,1,failure,no
96,1,services,single,secondary,no,0,yes,no,cellular,1,apr,1,1,1,1,failure,yes
97,1,blue-collar,married,primary,no,1,yes,no,cellular,0,may,0,0,1,1,failure,no
98,0,management,single,secondary,no,1,yes,no,cellular,1,nov,0,0,1,1,failure,no
99,0,blue-collar,married,secondary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
100,0,management,single,tertiary,no,1,no,no,telephone,1,jan,0,1,1,1,other,no
101,0,blue-collar,married,secondary,no,0,yes,yes,cellular,1,may,0,0,1,1,failure,no
102,1,retired,married,primary,no,1,no,no,cellular,0,jul,1,0,1,1,success,yes
103,1,services,married,secondary,no,0,no,no,cellular,1,jan,1,1,1,1,failure,no
104,1,admin.,single,secondary,no,0,no,no,cellular,0,may,1,1,1,1,failure,no
105,0,admin.,single,secondary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
106,0,blue-collar,married,secondary,no,0,yes,no,cellular,1,may,0,0,1,1,failure,no
107,0,blue-collar,married,primary,no,1,yes,no,cellular,1,jul,1,0,1,1,failure,no
108,1,retired,married,secondary,no,1,no,no,cellular,0,aug,1,0,1,1,failure,no
109,1,management,divorced,tertiary,no,0,no,no,cellular,1,nov,0,1,1,1,failure,no
110,1,blue-collar,married,secondary,no,0,no,no,cellular,1,jul,0,0,1,1,failure,no
111,1,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
112,1,blue-collar,married,primary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
113,1,management,married,tertiary,no,0,no,no,cellular,1,jan,0,0,1,1,failure,no
114,0,technician,divorced,tertiary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
115,1,housemaid,divorced,primary,no,1,yes,no,telephone,0,may,0,1,1,1,failure,no
116,1,technician,married,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
117,1,retired,married,primary,no,1,no,no,cellular,0,dec,1,1,1,1,other,yes
118,1,blue-collar,married,primary,no,1,yes,no,cellular,0,may,0,0,1,1,failure,no
119,0,technician,married,secondary,no,1,no,no,cellular,1,may,0,0,1,1,failure,no
120,0,services,single,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
121,1,retired,married,primary,no,0,no,no,cellular,1,jun,1,0,1,1,failure,no
122,1,management,single,tertiary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,yes
123,1,retired,married,secondary,no,1,no,no,telephone,0,may,1,1,1,1,failure,no
124,1,blue-collar,married,secondary,no,1,no,no,cellular,0,jun,0,0,1,1,failure,no
125,1,management,married,tertiary,no,1,no,no,cellular,0,feb,0,0,1,1,failure,no
126,1,self-employed,married,tertiary,no,0,no,no,telephone,1,nov,0,1,1,1,failure,no
127,0,admin.,married,secondary,no,1,yes,no,cellular,1,nov,1,0,1,1,failure,no
128,1,technician,married,tertiary,yes,0,yes,no,cellular,1,may,1,1,1,1,failure,no
129,1,services,married,secondary,no,0,yes,yes,cellular,1,may,0,0,1,1,failure,no
130,0,management,single,tertiary,no,1,yes,no,cellular,0,may,0,0,1,1,failure,no
131,0,services,married,secondary,no,1,no,no,telephone,1,jul,1,1,1,1,failure,no
